date,stage,home_team,away_team,home_score,away_score,actual_result,predicted_result,correct,p_home_win,p_draw,p_away_win,lambda_home,lambda_away,log_loss,brier_score,favourite_prob,was_upset
2022-11-20T19:00:00,GROUP_STAGE,Qatar,Ecuador,0,2,AWAY_WIN,HOME_WIN,False,0.3663,0.3000,0.3337,1.0781,1.0148,1.0974,0.2227,0.3663,False
2022-11-21T16:00:00,GROUP_STAGE,England,IR Iran,6,2,HOME_WIN,HOME_WIN,True,0.5994,0.2850,0.1157,1.3314,0.4176,0.5119,0.0850,0.5994,False
2022-11-21T19:00:00,GROUP_STAGE,Senegal,Netherlands,0,2,AWAY_WIN,AWAY_WIN,True,0.1878,0.2383,0.5739,0.8617,1.7068,0.5553,0.0912,0.5739,False
2022-11-21T22:00:00,GROUP_STAGE,USA,Wales,1,1,DRAW,AWAY_WIN,False,0.2536,0.2535,0.4929,1.0422,1.5588,1.3724,0.2882,0.4929,False
2022-11-22T13:00:00,GROUP_STAGE,Argentina,Saudi Arabia,1,2,AWAY_WIN,HOME_WIN,False,0.8655,0.0959,0.0386,3.0398,0.5308,3.2543,0.5609,0.8655,True
2022-11-22T16:00:00,GROUP_STAGE,Denmark,Tunisia,0,0,DRAW,HOME_WIN,False,0.6052,0.2175,0.1773,1.9205,0.9313,1.5255,0.3367,0.6052,False
2022-11-22T19:00:00,GROUP_STAGE,Mexico,Poland,0,0,DRAW,HOME_WIN,False,0.4149,0.2870,0.2981,1.2277,0.9942,1.2482,0.2564,0.4149,False
2022-11-22T22:00:00,GROUP_STAGE,France,Australia,4,1,HOME_WIN,HOME_WIN,True,0.8027,0.1337,0.0636,2.6056,0.6007,0.2197,0.0203,0.8027,False
2022-11-23T13:00:00,GROUP_STAGE,Morocco,Croatia,0,0,DRAW,AWAY_WIN,False,0.1769,0.2343,0.5889,0.8320,1.7382,1.4513,0.3215,0.5889,False
2022-11-23T16:00:00,GROUP_STAGE,Germany,Japan,1,2,AWAY_WIN,HOME_WIN,False,0.7106,0.1814,0.1080,2.1808,0.7130,2.2254,0.4445,0.7106,True
2022-11-23T19:00:00,GROUP_STAGE,Spain,Costa Rica,7,0,HOME_WIN,HOME_WIN,True,0.6059,0.2231,0.1710,1.8476,0.8635,0.5011,0.0781,0.6059,False
2022-11-23T22:00:00,GROUP_STAGE,Belgium,Canada,1,0,HOME_WIN,HOME_WIN,True,0.4974,0.2480,0.2546,1.6135,1.0808,0.6983,0.1263,0.4974,False
2022-11-24T13:00:00,GROUP_STAGE,Switzerland,Cameroon,1,0,HOME_WIN,HOME_WIN,True,0.6696,0.2105,0.1199,1.8838,0.6458,0.4010,0.0559,0.6696,False
2022-11-24T16:00:00,GROUP_STAGE,Uruguay,South Korea,0,0,DRAW,HOME_WIN,False,0.5177,0.2488,0.2335,1.6122,0.9950,1.3909,0.2956,0.5177,False
2022-11-24T19:00:00,GROUP_STAGE,Portugal,Ghana,3,2,HOME_WIN,HOME_WIN,True,0.4923,0.2569,0.2508,1.5281,1.0120,0.7087,0.1289,0.4923,False
2022-11-24T22:00:00,GROUP_STAGE,Brazil,Serbia,2,0,HOME_WIN,HOME_WIN,True,0.6969,0.1875,0.1156,2.1329,0.7330,0.3611,0.0468,0.6969,False
2022-11-25T13:00:00,GROUP_STAGE,Wales,IR Iran,0,2,AWAY_WIN,HOME_WIN,False,0.5507,0.2877,0.1616,1.3219,0.5742,1.8227,0.3630,0.5507,False
2022-11-25T16:00:00,GROUP_STAGE,Qatar,Senegal,1,3,AWAY_WIN,AWAY_WIN,True,0.3481,0.2615,0.3904,1.2727,1.3636,0.9405,0.1870,0.3904,False
2022-11-25T19:00:00,GROUP_STAGE,Netherlands,Ecuador,1,1,DRAW,HOME_WIN,False,0.5664,0.2686,0.1650,1.4458,0.6412,1.3144,0.2943,0.5664,False
2022-11-25T22:00:00,GROUP_STAGE,England,USA,0,0,DRAW,HOME_WIN,False,0.5672,0.2530,0.1798,1.5699,0.7579,1.3745,0.3040,0.5672,False
2022-11-26T13:00:00,GROUP_STAGE,Tunisia,Australia,0,1,AWAY_WIN,HOME_WIN,False,0.4179,0.2409,0.3412,1.5994,1.4241,1.0754,0.2223,0.4179,False
2022-11-26T16:00:00,GROUP_STAGE,Poland,Saudi Arabia,2,0,HOME_WIN,HOME_WIN,True,0.6572,0.2099,0.1329,1.9213,0.7241,0.4197,0.0597,0.6572,False
2022-11-26T19:00:00,GROUP_STAGE,France,Denmark,2,1,HOME_WIN,HOME_WIN,True,0.5400,0.2598,0.2003,1.5172,0.8102,0.6162,0.1064,0.5400,False
2022-11-26T22:00:00,GROUP_STAGE,Argentina,Mexico,2,0,HOME_WIN,HOME_WIN,True,0.5314,0.2533,0.2154,1.5730,0.8999,0.6323,0.1100,0.5314,False
2022-11-27T13:00:00,GROUP_STAGE,Japan,Costa Rica,0,1,AWAY_WIN,HOME_WIN,False,0.3600,0.2866,0.3533,1.1369,1.1234,1.0404,0.2100,0.3600,False
2022-11-27T16:00:00,GROUP_STAGE,Belgium,Morocco,0,2,AWAY_WIN,HOME_WIN,False,0.6086,0.2352,0.1562,1.7081,0.7289,1.8568,0.3793,0.6086,False
2022-11-27T19:00:00,GROUP_STAGE,Croatia,Canada,4,1,HOME_WIN,HOME_WIN,True,0.4692,0.2432,0.2875,1.6419,1.2338,0.7567,0.1412,0.4692,False
2022-11-27T22:00:00,GROUP_STAGE,Spain,Germany,1,1,DRAW,AWAY_WIN,False,0.2637,0.2417,0.4946,1.1587,1.6763,1.4201,0.2964,0.4946,False
2022-11-28T13:00:00,GROUP_STAGE,Cameroon,Serbia,3,3,DRAW,AWAY_WIN,False,0.1882,0.2510,0.5607,0.8013,1.5894,1.3822,0.3036,0.5607,False
