tournament,model,n_matches,accuracy,brier_score,log_loss,avg_prob_correct
World Cup 2018,Historical,64,0.5312,0.2053,1.0435,0.4073
World Cup 2018,Recent Form,64,0.5312,0.2117,1.0567,0.3759
World Cup 2018,Hybrid 100%/0%,64,0.5156,0.2128,1.0839,0.4032
World Cup 2018,Hybrid 90%/10%,64,0.5156,0.2088,1.0604,0.4025
World Cup 2018,Hybrid 80%/20%,64,0.5156,0.2056,1.0425,0.4011
World Cup 2018,Hybrid 70%/30%,64,0.5312,0.2033,1.0292,0.3993
World Cup 2018,Hybrid 60%/40%,64,0.5312,0.2018,1.0202,0.3969
World Cup 2018,Hybrid 50%/50%,64,0.5156,0.2012,1.0153,0.3941
World Cup 2018,Hybrid 40%/60%,64,0.5312,0.2015,1.0144,0.3910
World Cup 2018,Hybrid 30%/70%,64,0.5469,0.2026,1.0175,0.3876
World Cup 2018,Hybrid 20%/80%,64,0.5312,0.2046,1.0250,0.3839
World Cup 2018,Hybrid 10%/90%,64,0.5312,0.2076,1.0377,0.3800
World Cup 2018,Hybrid 0%/100%,64,0.5312,0.2117,1.0567,0.3759
World Cup 2022,Historical,59,0.5763,0.2003,1.0456,0.4245
World Cup 2022,Recent Form,59,0.4237,0.2200,1.1057,0.3731
World Cup 2022,Hybrid 100%/0%,59,0.5254,0.2179,1.1386,0.4060
World Cup 2022,Hybrid 90%/10%,59,0.5424,0.2145,1.1103,0.4026
World Cup 2022,Hybrid 80%/20%,59,0.5424,0.2115,1.0875,0.3994
World Cup 2022,Hybrid 70%/30%,59,0.5424,0.2090,1.0695,0.3962
World Cup 2022,Hybrid 60%/40%,59,0.5763,0.2073,1.0564,0.3932
World Cup 2022,Hybrid 50%/50%,59,0.5593,0.2063,1.0481,0.3901
World Cup 2022,Hybrid 40%/60%,59,0.5593,0.2062,1.0450,0.3870
World Cup 2022,Hybrid 30%/70%,59,0.5254,0.2073,1.0477,0.3838
World Cup 2022,Hybrid 20%/80%,59,0.5254,0.2098,1.0572,0.3805
World Cup 2022,Hybrid 10%/90%,59,0.4407,0.2139,1.0754,0.3769
World Cup 2022,Hybrid 0%/100%,59,0.4237,0.2200,1.1057,0.3731
