match_id,competition,season,utc_date,home_team_name,away_team_name,stage,group,status
600013,WC,2026,2026-06-28 19:00:00,South Africa,Canada,ROUND_OF_32,,SCHEDULED
600014,WC,2026,2026-06-29 21:30:00,Brazil,Japan,ROUND_OF_32,,SCHEDULED
600015,WC,2026,2026-06-29 16:30:00,Germany,Paraguay,ROUND_OF_32,,SCHEDULED
600016,WC,2026,2026-06-29 21:00:00,Netherlands,Morocco,ROUND_OF_32,,SCHEDULED
600017,WC,2026,2026-06-30 13:00:00,Ivory Coast,Norway,ROUND_OF_32,,SCHEDULED
600018,WC,2026,2026-06-30 17:00:00,France,Sweden,ROUND_OF_32,,SCHEDULED
600019,WC,2026,2026-06-30 21:00:00,Mexico,Ecuador,ROUND_OF_32,,SCHEDULED
600020,WC,2026,2026-07-01 12:00:00,England,DR Congo,ROUND_OF_32,,SCHEDULED
600021,WC,2026,2026-07-01 16:00:00,Belgium,Senegal,ROUND_OF_32,,SCHEDULED
600022,WC,2026,2026-07-01 20:00:00,United States,Bosnia and Herzegovina,ROUND_OF_32,,SCHEDULED
600023,WC,2026,2026-07-02 15:00:00,Spain,Austria,ROUND_OF_32,,SCHEDULED
600024,WC,2026,2026-07-02 19:00:00,Portugal,Croatia,ROUND_OF_32,,SCHEDULED
600025,WC,2026,2026-07-02 23:00:00,Switzerland,Algeria,ROUND_OF_32,,SCHEDULED
600026,WC,2026,2026-07-03 14:00:00,Australia,Egypt,ROUND_OF_32,,SCHEDULED
600027,WC,2026,2026-07-03 18:00:00,Argentina,Cape Verde,ROUND_OF_32,,SCHEDULED
600028,WC,2026,2026-07-03 21:30:00,Colombia,Ghana,ROUND_OF_32,,SCHEDULED
